invoice_no,customer_id,gender,age,category,price,payment_method,invoice_date,shopping_mall,Clothing,Shoes,Books,Cosmetics,Food & Beverage,Toys,Souvenir,Technology
I255446,C126647,Female,54,Shoes,60,Credit Card,17/02/2021,Zorlu Center,0,1,0,0,0,0,0,0
I854848,C278752,Female,57,Technology,50,Debit Card,6/5/2021,Cevahir AVM,0,0,0,0,0,0,0,1
I213167,C111668,Male,25,Clothing,30,Credit Card,28/07/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I316677,C119364,Female,44,Books,15,Cash,21/09/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I328733,C158114,Female,43,Clothing,30,Cash,7/8/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I127144,C195508,Male,18,Souvenir,27,Debit Card,3/11/2022,Mall of Istanbul,0,0,0,0,0,0,1,0
I125746,C317968,Female,57,Toys,25,Cash,18/06/2022,Viaport Outlet,0,0,0,0,0,1,0,0
I994913,C809683,Female,25,Cosmetics,35,Credit Card,7/3/2022,Kanyon,0,0,0,1,1,0,0,0
I634948,C228735,Female,50,Food & Beverage,20,Cash,3/9/2022,Metrocity,0,0,1,0,0,0,0,0
I269024,C278483,Male,49,Clothing,30,Debit Card,12/8/2022,Kanyon,1,0,0,0,1,0,0,0
I264126,C158261,Male,21,Food & Beverage,20,Cash,28/04/2022,Metrocity,0,0,0,0,0,0,0,0
I140362,C102607,Male,38,Technology,50,Debit Card,24/10/2021,Metrocity,0,0,0,0,0,0,0,1
I617893,C808112,Male,65,Clothing,30,Cash,18/07/2022,Metrocity,1,0,0,0,0,0,0,0
I190439,C145982,Female,32,Clothing,30,Credit Card,24/06/2022,Metropol AVM,1,0,0,0,1,0,0,0
I182480,C325166,Female,47,Food & Beverage,20,Credit Card,24/05/2022,Kanyon,0,0,0,0,0,0,0,0
I203099,C266175,Female,53,Clothing,30,Credit Card,1/12/2021,Zorlu Center,1,0,0,0,0,0,0,0
I740038,C213718,Male,34,Clothing,30,Debit Card,14/12/2022,Metropol AVM,1,0,0,0,0,0,0,0
I215044,C184322,Female,61,Cosmetics,35,Cash,19/01/2023,Forum Istanbul,0,0,0,1,0,0,0,0
I171352,C478668,Female,19,Clothing,30,Credit Card,13/10/2021,Metrocity,1,0,0,0,0,0,0,0
I340002,C331539,Female,61,Cosmetics,35,Cash,12/12/2022,Forum Istanbul,0,0,0,1,0,0,0,0
I230886,C193813,Male,33,Cosmetics,35,Cash,17/06/2022,Mall of Istanbul,0,0,0,1,1,0,0,0
I133005,C716870,Female,53,Food & Beverage,20,Cash,19/12/2021,Zorlu Center,0,0,0,0,0,0,0,0
I282711,C168973,Male,68,Toys,25,Cash,7/6/2022,Kanyon,0,0,0,0,0,1,0,0
I150266,C297748,Male,37,Toys,25,Cash,20/11/2022,Kanyon,0,0,0,0,0,1,0,0
I339115,C678680,Male,69,Clothing,30,Credit Card,27/03/2021,Metrocity,1,0,0,0,1,0,0,0
I185772,C119032,Female,40,Food & Beverage,20,Cash,13/01/2022,Mall of Istanbul,0,0,0,0,0,0,0,0
I122393,C134708,Female,67,Cosmetics,35,Cash,7/6/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I280459,C100299,Female,22,Books,15,Credit Card,23/09/2022,Metrocity,0,0,0,0,0,0,0,0
I912888,C214164,Female,34,Toys,25,Debit Card,17/02/2021,Kanyon,0,0,0,0,0,1,0,0
I238472,C299327,Female,34,Clothing,30,Cash,17/11/2021,Kanyon,1,0,0,0,0,0,0,0
I581146,C333988,Female,56,Clothing,30,Cash,11/12/2022,Viaport Outlet,1,0,0,0,0,0,0,0
I151425,C110568,Male,26,Clothing,30,Credit Card,12/5/2022,Emaar Square Mall,1,0,0,0,0,0,0,0
I252733,C132150,Female,69,Books,15,Credit Card,17/05/2022,Zorlu Center,0,0,1,0,0,0,0,0
I176351,C224260,Female,67,Clothing,30,Cash,20/02/2021,Cevahir AVM,1,0,0,0,0,0,0,0
I221786,C314993,Male,61,Clothing,30,Credit Card,15/04/2021,Metropol AVM,1,0,0,0,1,0,0,0
I328774,C183588,Female,26,Food & Beverage,20,Cash,26/06/2021,Forum Istanbul,0,0,0,0,0,0,0,0
I752293,C211763,Male,63,Clothing,30,Cash,2/3/2023,Zorlu Center,1,0,0,0,0,0,0,0
I106866,C246898,Female,51,Toys,25,Credit Card,10/1/2022,Zorlu Center,0,0,1,0,0,1,0,0
I286110,C281244,Male,60,Clothing,30,Credit Card,11/12/2022,Metropol AVM,1,0,0,0,0,0,0,0
I313265,C288863,Female,26,Books,15,Debit Card,17/01/2021,Viaport Outlet,0,0,0,0,0,0,0,0
I214882,C582997,Male,34,Souvenir,27,Credit Card,7/8/2022,Kanyon,0,0,0,0,0,0,1,0
I166473,C240916,Female,25,Clothing,30,Cash,20/03/2022,Forum Istanbul,1,0,0,0,0,0,0,0
I178412,C108007,Male,49,Shoes,60,Debit Card,23/11/2022,Metropol AVM,0,1,0,0,0,0,0,0
I261248,C104963,Male,69,Souvenir,27,Cash,26/02/2021,Zorlu Center,0,0,0,0,0,0,1,0
I147152,C286640,Male,66,Books,15,Cash,18/04/2021,Kanyon,0,0,1,0,0,0,0,0
I531648,C156880,Male,23,Clothing,30,Cash,8/10/2022,Mall of Istanbul,1,0,0,0,0,0,0,0
I215582,C129686,Female,18,Cosmetics,35,Debit Card,29/12/2021,Cevahir AVM,0,0,0,1,0,0,0,0
I331938,C864800,Male,24,Cosmetics,35,Debit Card,14/07/2022,Metrocity,0,0,0,1,0,0,0,0
I176706,C223982,Female,39,Cosmetics,35,Cash,21/01/2021,Kanyon,0,0,0,1,0,0,0,0
I306370,C158827,Female,50,Shoes,60,Credit Card,19/01/2023,Metrocity,0,1,1,0,0,0,0,0
I894668,C253252,Male,52,Technology,50,Credit Card,12/9/2022,Metrocity,0,0,0,0,0,0,0,1
I163001,C592891,Male,56,Cosmetics,35,Cash,19/06/2021,Metrocity,0,0,0,1,0,0,0,0
I216555,C287380,Female,41,Clothing,30,Debit Card,15/05/2021,Metropol AVM,1,0,0,0,0,0,0,0
I247751,C897202,Female,21,Clothing,30,Debit Card,4/11/2021,Emaar Square Mall,1,0,0,0,0,0,0,0
I238537,C618494,Male,42,Clothing,30,Cash,5/5/2021,Forum Istanbul,1,0,0,0,0,0,0,0
I128275,C228922,Female,50,Clothing,30,Credit Card,30/12/2021,Metropol AVM,1,0,0,0,0,0,0,0
I167097,C101074,Female,53,Clothing,30,Cash,25/09/2021,Metrocity,1,0,0,0,0,0,0,0
I329721,C242798,Female,32,Technology,50,Credit Card,1/9/2022,Kanyon,0,0,0,0,0,0,0,1
I145120,C293612,Female,60,Clothing,30,Debit Card,4/2/2023,Metrocity,1,0,0,0,1,0,0,0
I339998,C299567,Male,34,Food & Beverage,20,Credit Card,17/11/2022,Zorlu Center,0,0,0,0,0,0,0,0
I101862,C352919,Female,24,Shoes,60,Credit Card,2/12/2022,Viaport Outlet,0,1,0,0,0,0,0,0
I292866,C152959,Female,44,Clothing,30,Cash,6/8/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I244481,C104690,Female,32,Clothing,30,Debit Card,12/3/2022,Kanyon,1,0,0,0,1,0,0,0
I399156,C285884,Female,42,Food & Beverage,20,Cash,14/09/2022,Metrocity,0,0,0,0,0,0,0,0
I998832,C257559,Male,23,Souvenir,27,Credit Card,21/02/2021,Metrocity,0,0,0,0,0,0,1,0
I228888,C261635,Male,33,Technology,50,Cash,18/12/2022,Kanyon,0,0,0,0,0,0,0,1
I304606,C316806,Male,64,Clothing,30,Cash,7/3/2023,Metrocity,1,0,0,0,0,0,0,0
I287543,C272133,Female,69,Clothing,30,Cash,6/4/2021,Forum Istanbul,1,0,0,0,0,0,0,0
I181621,C112446,Male,30,Books,15,Debit Card,3/3/2022,Cevahir AVM,0,0,0,0,0,0,0,0
I282516,C666466,Female,66,Books,15,Cash,10/8/2022,Viaport Outlet,0,0,0,0,1,0,0,0
I182260,C116531,Female,68,Food & Beverage,20,Cash,18/04/2021,Metrocity,0,0,0,0,0,0,0,0
I139323,C171015,Female,48,Cosmetics,35,Cash,3/9/2022,Metrocity,0,0,0,1,0,0,0,0
I339366,C480735,Male,52,Clothing,30,Cash,8/6/2021,Forum Istanbul,1,0,0,0,0,0,0,0
I192802,C290819,Female,39,Clothing,30,Cash,25/03/2022,Metrocity,1,0,1,0,1,0,0,0
I137934,C202988,Female,29,Food & Beverage,20,Credit Card,25/04/2022,Cevahir AVM,0,0,1,0,0,0,0,0
I322245,C306346,Female,48,Toys,25,Cash,5/6/2021,Cevahir AVM,0,0,0,0,0,1,0,0
I317066,C127551,Male,50,Clothing,30,Credit Card,4/1/2022,Metropol AVM,1,0,0,0,0,0,0,0
I907323,C794449,Male,28,Cosmetics,35,Cash,6/9/2021,Metropol AVM,0,0,0,1,1,0,0,0
I337976,C335131,Male,64,Food & Beverage,20,Credit Card,26/10/2021,Mall of Istanbul,0,0,0,0,0,0,0,0
I174237,C289650,Female,36,Cosmetics,35,Debit Card,12/2/2023,Emaar Square Mall,0,0,0,1,0,0,0,0
I231403,C230619,Male,64,Cosmetics,35,Cash,6/2/2023,Mall of Istanbul,0,0,0,1,0,0,0,0
I115471,C832397,Female,54,Clothing,30,Credit Card,6/11/2021,Metropol AVM,1,0,0,0,0,0,0,0
I592836,C277384,Female,31,Cosmetics,35,Cash,18/06/2022,Metrocity,0,0,0,1,0,0,0,0
I317840,C296318,Male,49,Clothing,30,Cash,10/2/2023,Kanyon,1,0,0,0,0,0,0,0
I153468,C813874,Female,51,Clothing,30,Credit Card,25/09/2022,Viaport Outlet,1,0,0,0,0,0,0,0
I120560,C291970,Male,37,Clothing,30,Cash,28/12/2022,Metropol AVM,1,0,0,0,0,0,0,0
I208105,C524507,Male,52,Clothing,30,Credit Card,26/10/2021,Istinye Park,1,0,0,0,0,0,0,0
I565725,C230270,Female,64,Shoes,60,Cash,24/06/2021,Viaport Outlet,0,1,0,0,0,0,0,0
I858783,C307870,Female,65,Shoes,60,Credit Card,2/2/2022,Kanyon,0,1,0,0,0,0,0,0
I168315,C294623,Female,53,Shoes,60,Cash,16/06/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I146548,C205178,Male,30,Clothing,30,Cash,19/07/2022,Metropol AVM,1,0,0,0,0,0,0,0
I115242,C264585,Male,52,Clothing,30,Debit Card,1/11/2022,Istinye Park,1,0,0,0,0,0,0,0
I761759,C145059,Male,32,Toys,25,Credit Card,6/9/2021,Mall of Istanbul,0,0,0,0,1,1,0,0
I278595,C158616,Male,40,Food & Beverage,20,Credit Card,9/6/2021,Emaar Square Mall,0,0,0,0,0,0,0,0
I230790,C955218,Female,53,Clothing,30,Debit Card,6/2/2022,Kanyon,1,0,0,0,0,0,0,0
I187777,C710954,Male,39,Clothing,30,Credit Card,30/04/2021,Zorlu Center,1,0,0,0,0,0,0,0
I204421,C947516,Female,56,Cosmetics,35,Credit Card,15/11/2021,Metrocity,0,0,0,1,0,0,0,0
I186346,C305734,Female,19,Shoes,60,Credit Card,21/01/2021,Metrocity,0,1,0,0,0,0,0,0
I214442,C539840,Male,19,Cosmetics,35,Debit Card,15/07/2021,Kanyon,0,0,0,1,0,0,0,0
I271973,C251005,Female,67,Clothing,30,Credit Card,18/08/2021,Istinye Park,1,0,0,0,0,0,0,0
I168925,C136395,Female,59,Technology,50,Debit Card,1/5/2022,Metrocity,0,0,0,0,0,0,0,1
I124379,C898202,Male,63,Books,15,Credit Card,15/10/2021,Metrocity,0,0,0,0,0,0,0,0
I221646,C320598,Male,68,Clothing,30,Debit Card,15/02/2021,Metrocity,1,0,0,0,0,0,0,0
I209913,C339508,Male,23,Books,15,Credit Card,28/09/2022,Emaar Square Mall,0,0,0,0,0,0,0,0
I110823,C334518,Female,47,Clothing,30,Credit Card,3/4/2022,Metrocity,1,0,0,0,0,0,0,0
I241386,C307477,Female,25,Clothing,30,Cash,29/03/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I113342,C238833,Male,22,Clothing,30,Credit Card,31/01/2022,Forum Istanbul,1,0,1,0,1,0,0,0
I189839,C135301,Female,60,Food & Beverage,20,Cash,24/12/2022,Forum Istanbul,0,0,0,0,0,0,0,0
I288734,C993876,Female,38,Clothing,30,Debit Card,7/3/2023,Kanyon,1,0,1,0,0,0,0,0
I241628,C512698,Male,59,Cosmetics,35,Credit Card,17/03/2021,Metropol AVM,0,0,0,1,0,0,0,0
I312437,C618730,Male,20,Clothing,30,Credit Card,13/05/2021,Emaar Square Mall,1,0,0,0,0,0,0,0
I206043,C187608,Female,62,Clothing,30,Credit Card,9/12/2021,Metrocity,1,0,0,0,0,0,0,0
I448589,C955533,Female,56,Cosmetics,35,Debit Card,26/02/2022,Mall of Istanbul,0,0,0,1,1,0,0,0
I225004,C195673,Female,41,Food & Beverage,20,Debit Card,6/6/2021,Metropol AVM,0,0,0,0,0,0,0,0
I295604,C327796,Female,39,Shoes,60,Credit Card,7/6/2021,Metropol AVM,0,1,0,0,0,0,0,0
I233412,C524469,Female,47,Clothing,30,Credit Card,8/5/2021,Zorlu Center,1,0,0,0,1,0,0,0
I246405,C105429,Female,55,Food & Beverage,20,Debit Card,4/8/2021,Istinye Park,0,0,0,0,0,0,0,0
I330145,C304866,Female,30,Clothing,30,Credit Card,16/09/2021,Kanyon,1,0,0,0,0,0,0,0
I730781,C304326,Male,34,Clothing,30,Debit Card,31/03/2022,Istinye Park,1,0,0,0,0,0,0,0
I258797,C773181,Female,53,Souvenir,27,Cash,14/08/2022,Metropol AVM,0,0,0,0,0,0,1,0
I140019,C467287,Female,24,Shoes,60,Cash,16/09/2021,Metrocity,0,1,0,0,0,0,0,0
I299140,C339114,Male,61,Shoes,60,Cash,28/06/2022,Metropol AVM,0,1,0,0,0,0,0,0
I145354,C299514,Female,32,Clothing,30,Debit Card,29/12/2021,Metrocity,1,0,0,0,0,0,0,0
I212471,C163011,Female,51,Cosmetics,35,Debit Card,24/07/2022,Kanyon,0,0,0,1,0,0,0,0
I980023,C120118,Male,55,Cosmetics,35,Credit Card,20/01/2023,Metrocity,0,0,0,1,0,0,0,0
I179118,C157064,Female,49,Souvenir,27,Debit Card,27/04/2021,Kanyon,0,0,0,0,1,0,1,0
I242660,C670293,Female,26,Food & Beverage,20,Credit Card,21/04/2021,Cevahir AVM,0,0,0,0,0,0,0,0
I488609,C210060,Female,56,Shoes,60,Credit Card,17/02/2022,Metropol AVM,0,1,0,0,0,0,0,0
I184493,C254397,Male,60,Technology,50,Cash,1/10/2022,Mall of Istanbul,0,0,0,0,1,0,0,1
I178572,C287355,Male,43,Food & Beverage,20,Cash,6/5/2021,Metrocity,0,0,0,0,0,0,0,0
I275274,C175467,Female,69,Souvenir,27,Cash,22/10/2022,Viaport Outlet,0,0,0,0,0,0,1,0
I266960,C109885,Male,49,Souvenir,27,Cash,10/5/2022,Metropol AVM,0,0,0,0,0,0,1,0
I282582,C119723,Female,55,Toys,25,Cash,7/6/2021,Istinye Park,0,0,0,0,0,1,0,0
I225839,C838257,Male,63,Cosmetics,35,Debit Card,28/12/2022,Zorlu Center,0,0,0,1,0,0,0,0
I756230,C846690,Male,36,Toys,25,Debit Card,26/12/2021,Istinye Park,0,0,0,0,0,1,0,0
I339525,C185502,Female,28,Clothing,30,Credit Card,22/08/2021,Istinye Park,1,0,0,0,0,0,0,0
I232626,C176854,Male,45,Cosmetics,35,Credit Card,20/02/2021,Emaar Square Mall,0,0,0,1,0,0,0,0
I291779,C184727,Male,67,Clothing,30,Cash,21/10/2021,Viaport Outlet,1,0,0,0,0,0,0,0
I224157,C551975,Female,46,Cosmetics,35,Cash,22/03/2022,Cevahir AVM,0,0,0,1,0,0,0,0
I245816,C310676,Female,59,Clothing,30,Debit Card,19/01/2023,Emaar Square Mall,1,0,0,0,0,0,0,0
I907658,C107258,Female,65,Shoes,60,Cash,26/04/2022,Mall of Istanbul,0,1,0,0,0,0,0,0
I317125,C845711,Female,34,Books,15,Credit Card,30/01/2023,Kanyon,0,0,0,0,0,0,0,0
I145770,C709824,Female,68,Technology,50,Debit Card,6/1/2023,Emaar Square Mall,0,0,0,0,0,0,0,1
I252778,C339202,Female,50,Shoes,60,Debit Card,12/7/2022,Istinye Park,0,1,0,0,0,0,0,0
I364470,C162162,Male,30,Shoes,60,Cash,24/01/2023,Istinye Park,0,1,0,0,0,0,0,0
I592896,C108465,Male,35,Clothing,30,Debit Card,5/2/2021,Zorlu Center,1,0,0,0,0,0,0,0
I639644,C682985,Male,54,Clothing,30,Debit Card,23/07/2022,Kanyon,1,0,1,0,1,0,0,0
I148485,C309367,Male,20,Food & Beverage,20,Cash,15/02/2021,Metropol AVM,0,0,0,0,0,0,0,0
I271886,C218573,Female,58,Cosmetics,35,Credit Card,14/05/2022,Emaar Square Mall,0,0,0,1,0,0,0,0
I185724,C175732,Male,31,Toys,25,Cash,27/04/2021,Istinye Park,0,0,0,0,0,1,0,0
I623959,C103461,Female,29,Cosmetics,35,Cash,9/9/2021,Metropol AVM,0,0,0,1,0,0,0,0
I222357,C249679,Male,47,Souvenir,27,Cash,15/08/2022,Metropol AVM,0,0,0,0,0,0,1,0
I148614,C178845,Female,18,Shoes,60,Cash,17/04/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I813784,C177475,Female,20,Technology,50,Credit Card,27/08/2022,Forum Istanbul,0,0,0,0,0,0,0,1
I211758,C267852,Female,50,Clothing,30,Debit Card,21/02/2022,Cevahir AVM,1,0,0,0,0,0,0,0
I270546,C194974,Male,47,Cosmetics,35,Cash,14/06/2022,Kanyon,0,0,0,1,0,0,0,0
I891663,C128277,Male,48,Cosmetics,35,Credit Card,24/12/2022,Cevahir AVM,0,0,0,1,0,0,0,0
I162663,C502572,Male,35,Shoes,60,Credit Card,3/1/2022,Metrocity,0,1,0,0,0,0,0,0
I252732,C337111,Female,50,Technology,50,Credit Card,3/12/2022,Mall of Istanbul,0,0,0,0,0,0,0,1
I823227,C243037,Female,41,Clothing,30,Cash,27/05/2022,Metrocity,1,0,0,0,0,0,0,0
I185731,C334686,Female,27,Clothing,30,Credit Card,10/3/2022,Zorlu Center,1,0,0,0,1,0,0,0
I309813,C265568,Female,64,Food & Beverage,20,Credit Card,19/12/2021,Mall of Istanbul,0,0,0,0,0,0,0,0
I255891,C335904,Male,42,Technology,50,Debit Card,3/4/2022,Istinye Park,0,0,0,0,0,0,0,1
I144011,C119157,Female,22,Cosmetics,35,Credit Card,5/3/2021,Mall of Istanbul,0,0,0,1,0,0,0,0
I291710,C559217,Female,64,Clothing,30,Cash,3/10/2022,Kanyon,1,0,0,0,0,0,0,0
I163500,C280866,Male,59,Shoes,60,Debit Card,30/07/2022,Kanyon,0,1,0,0,0,0,0,0
I107888,C574590,Female,53,Clothing,30,Debit Card,8/2/2021,Kanyon,1,0,0,0,0,0,0,0
I977597,C919190,Male,29,Cosmetics,35,Credit Card,5/12/2022,Mall of Istanbul,0,0,0,1,0,0,0,0
I283132,C185049,Female,30,Clothing,30,Credit Card,2/3/2022,Metrocity,1,0,0,0,0,0,0,0
I637087,C295880,Female,50,Clothing,30,Cash,12/2/2023,Kanyon,1,0,0,0,0,0,0,0
I335650,C245681,Female,42,Clothing,30,Credit Card,30/01/2023,Mall of Istanbul,1,0,0,0,0,0,0,0
I259858,C316015,Male,23,Clothing,30,Cash,27/11/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I214598,C111244,Female,41,Cosmetics,35,Cash,2/3/2021,Kanyon,0,0,0,1,0,0,0,0
I309383,C716683,Male,29,Cosmetics,35,Debit Card,22/10/2021,Istinye Park,0,0,0,1,0,0,0,0
I228443,C201036,Female,59,Clothing,30,Debit Card,21/07/2021,Kanyon,1,0,0,0,0,0,0,0
I111221,C136714,Female,34,Clothing,30,Debit Card,2/2/2022,Kanyon,1,0,0,0,0,0,0,0
I205645,C310969,Female,22,Cosmetics,35,Cash,13/06/2022,Metrocity,0,0,0,1,0,0,0,0
I296120,C750093,Male,34,Clothing,30,Cash,10/2/2023,Metrocity,1,0,0,0,0,0,0,0
I317106,C521028,Female,69,Toys,25,Credit Card,27/09/2022,Metrocity,0,0,0,0,0,1,0,0
I300868,C311482,Male,61,Technology,50,Cash,28/01/2021,Metropol AVM,0,0,0,0,0,0,0,1
I254078,C122157,Female,44,Shoes,60,Cash,28/05/2021,Kanyon,0,1,0,0,0,0,0,0
I158508,C369937,Female,64,Technology,50,Cash,6/6/2022,Mall of Istanbul,0,0,0,0,0,0,0,1
I120038,C228472,Female,40,Clothing,30,Cash,25/10/2021,Metrocity,1,0,0,0,0,0,0,0
I208560,C209723,Male,58,Cosmetics,35,Cash,23/11/2021,Istinye Park,0,0,0,1,0,0,0,0
I223532,C160421,Male,23,Toys,25,Credit Card,22/09/2021,Istinye Park,0,0,0,0,0,1,0,0
I236697,C162397,Male,36,Shoes,60,Cash,24/02/2021,Metropol AVM,0,1,0,0,0,0,0,0
I129022,C940481,Female,64,Souvenir,27,Cash,29/04/2022,Kanyon,0,0,0,0,0,0,1,0
I312175,C314546,Female,60,Cosmetics,35,Cash,6/11/2021,Mall of Istanbul,0,0,0,1,0,0,0,0
I780362,C271866,Male,39,Cosmetics,35,Debit Card,12/6/2021,Metrocity,0,0,0,1,1,0,0,0
I311659,C164577,Male,65,Food & Beverage,20,Debit Card,19/07/2022,Metropol AVM,0,0,0,0,0,0,0,0
I279882,C240837,Male,66,Cosmetics,35,Debit Card,3/6/2022,Metropol AVM,0,0,0,1,0,0,0,0
I324650,C159771,Male,52,Souvenir,27,Cash,20/08/2022,Kanyon,0,0,0,0,0,0,1,0
I760012,C126598,Male,33,Shoes,60,Cash,6/2/2022,Forum Istanbul,0,1,0,0,1,0,0,0
I139536,C882358,Male,63,Food & Beverage,20,Debit Card,9/11/2021,Mall of Istanbul,0,0,0,0,0,0,0,0
I500621,C189942,Female,23,Books,15,Cash,20/02/2021,Istinye Park,0,0,0,0,0,0,0,0
I227528,C187110,Female,27,Clothing,30,Debit Card,17/01/2023,Istinye Park,1,0,0,0,1,0,0,0
I165544,C388552,Female,22,Food & Beverage,20,Credit Card,4/4/2021,Metrocity,0,0,0,0,0,0,0,0
I587552,C110267,Male,23,Clothing,30,Debit Card,25/03/2022,Kanyon,1,0,0,0,0,0,0,0
I170036,C176312,Male,38,Souvenir,27,Cash,17/08/2021,Metropol AVM,0,0,0,0,1,0,1,0
I135321,C863183,Male,57,Food & Beverage,20,Cash,5/8/2021,Mall of Istanbul,0,0,1,0,0,0,0,0
I679052,C294679,Male,21,Cosmetics,35,Cash,15/12/2021,Mall of Istanbul,0,0,0,1,0,0,0,0
I292262,C539974,Female,33,Souvenir,27,Cash,9/5/2022,Istinye Park,0,0,0,0,1,0,1,0
I419999,C317223,Male,34,Food & Beverage,20,Credit Card,5/8/2022,Forum Istanbul,0,0,0,0,0,0,0,0
I144681,C208844,Male,69,Toys,25,Credit Card,18/09/2022,Emaar Square Mall,0,0,0,0,0,1,0,0
I252554,C130720,Male,66,Cosmetics,35,Credit Card,19/08/2021,Emaar Square Mall,0,0,0,1,0,0,0,0
I204623,C256755,Female,46,Clothing,30,Cash,21/08/2022,Mall of Istanbul,1,0,0,0,1,0,0,0
I212186,C222250,Male,36,Food & Beverage,20,Credit Card,15/02/2021,Kanyon,0,0,0,0,1,0,0,0
I435093,C461133,Female,64,Food & Beverage,20,Debit Card,28/06/2021,Kanyon,0,0,0,0,0,0,0,0
I251648,C200881,Male,53,Shoes,60,Cash,29/05/2021,Kanyon,0,1,0,0,0,0,0,0
I156107,C164916,Male,66,Cosmetics,35,Credit Card,14/07/2021,Istinye Park,0,0,0,1,0,0,0,0
I160481,C143944,Female,19,Shoes,60,Credit Card,31/12/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I134879,C184428,Female,55,Souvenir,27,Cash,3/9/2022,Kanyon,0,0,0,0,1,0,1,0
I139920,C229001,Male,50,Food & Beverage,20,Credit Card,27/09/2022,Metropol AVM,0,0,0,0,0,0,0,0
I289344,C197522,Male,39,Cosmetics,35,Credit Card,17/01/2023,Emaar Square Mall,0,0,0,1,0,0,0,0
I281376,C299443,Male,64,Shoes,60,Credit Card,7/10/2021,Mall of Istanbul,0,1,0,0,0,0,0,0
I169319,C151752,Male,22,Books,15,Debit Card,3/6/2022,Metropol AVM,0,0,0,0,0,0,0,0
I328845,C582235,Female,49,Technology,50,Debit Card,24/05/2021,Mall of Istanbul,0,0,0,0,0,0,0,1
I228840,C128660,Female,45,Clothing,30,Credit Card,5/3/2023,Kanyon,1,0,0,0,0,0,0,0
I227550,C212483,Male,52,Toys,25,Cash,12/12/2022,Metrocity,0,0,0,0,0,1,0,0
I223232,C523660,Male,42,Clothing,30,Cash,25/08/2022,Metrocity,1,0,0,0,0,0,0,0
I161152,C432354,Male,55,Cosmetics,35,Cash,11/2/2021,Mall of Istanbul,0,0,1,1,0,0,0,0
I395632,C183706,Male,63,Toys,25,Cash,14/05/2022,Kanyon,0,0,0,0,1,1,0,0
I201969,C211766,Female,32,Food & Beverage,20,Credit Card,3/12/2021,Forum Istanbul,0,0,0,0,0,0,0,0
I271715,C271297,Female,49,Clothing,30,Cash,2/1/2021,Metropol AVM,1,0,0,0,0,0,0,0
I682326,C307855,Female,24,Technology,50,Cash,25/10/2021,Mall of Istanbul,0,0,0,0,0,0,0,1
I175726,C130682,Female,37,Clothing,30,Cash,16/07/2021,Metrocity,1,0,0,0,0,0,0,0
I885734,C105423,Female,41,Clothing,30,Cash,26/10/2021,Kanyon,1,0,0,0,0,0,0,0
I133667,C193454,Female,39,Toys,25,Debit Card,30/01/2022,Viaport Outlet,0,0,0,0,0,1,0,0
I420393,C170711,Male,19,Shoes,60,Debit Card,2/5/2021,Metrocity,0,1,0,0,0,0,0,0
I313796,C399735,Female,59,Clothing,30,Cash,23/12/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I133368,C330736,Female,68,Souvenir,27,Debit Card,15/05/2022,Mall of Istanbul,0,0,0,0,0,0,1,0
I788763,C200345,Female,52,Toys,25,Credit Card,19/10/2021,Kanyon,0,0,0,0,0,1,0,0
I205094,C101897,Female,60,Clothing,30,Cash,9/6/2021,Emaar Square Mall,1,0,0,0,0,0,0,0
I197681,C106311,Male,39,Clothing,30,Credit Card,15/03/2022,Metrocity,1,0,0,0,0,0,0,0
I133290,C334601,Female,26,Clothing,30,Cash,8/1/2023,Metrocity,1,0,0,0,0,0,0,0
I239562,C294370,Female,33,Clothing,30,Credit Card,21/02/2022,Kanyon,1,0,0,0,0,0,0,0
I267453,C189027,Male,57,Clothing,30,Credit Card,31/03/2021,Emaar Square Mall,1,0,0,0,1,0,0,0
I305557,C278541,Female,52,Food & Beverage,20,Credit Card,4/4/2022,Forum Istanbul,0,0,0,0,1,0,0,0
I151666,C274501,Female,26,Food & Beverage,20,Cash,11/10/2021,Cevahir AVM,0,0,0,0,0,0,0,0
I208609,C221164,Male,63,Clothing,30,Credit Card,27/01/2021,Mall of Istanbul,1,0,0,0,0,0,0,0
I140001,C260060,Female,33,Souvenir,27,Debit Card,23/09/2021,Metrocity,0,0,0,0,1,0,1,0
I340342,C295466,Male,55,Food & Beverage,20,Cash,4/3/2023,Metrocity,0,0,0,0,0,0,0,0
I186496,C145650,Female,26,Cosmetics,35,Cash,16/08/2022,Metropol AVM,0,0,0,1,0,0,0,0
I280022,C787279,Female,67,Clothing,30,Cash,5/6/2021,Zorlu Center,1,0,0,0,0,0,0,0
I171740,C279904,Male,64,Clothing,30,Credit Card,29/11/2021,Kanyon,1,0,0,0,0,0,0,0
I421240,C382952,Male,18,Souvenir,27,Credit Card,28/01/2023,Istinye Park,0,0,0,0,0,0,1,0
